name,address,city,province,holes,latitude,longitude,google_maps_link
Avion Park Golf Club ~ 18 Hole,123 Highveld Road,Kempton Park,Gauteng,18,-26.100742,28.249031,https://www.google.com/maps/search/?api=1&query=-26.100742%2C28.249031
Avion Park Golf Club ~ 9 Hole,123 Highveld Road,Kempton Park,Gauteng,9,-26.100742,28.249031,https://www.google.com/maps/search/?api=1&query=-26.100742%2C28.249031
Krugersdorp Golf Club,"Nightingale Crescent, Rant & Dal",Krugersdorp,Gauteng,18,-26.08135,27.784359,https://www.google.com/maps/search/?api=1&query=-26.08135%2C27.784359
Kyalami Country Club,433 Maple Rd,Kyalami,Gauteng,18,-25.977946,28.058286,https://www.google.com/maps/search/?api=1&query=-25.977946%2C28.058286
Huddle Park Golf Club ~ Championship Blue Course,119 Club Street,Linksfield,Gauteng,18,-26.155869,28.119574,https://www.google.com/maps/search/?api=1&query=-26.155869%2C28.119574
Huddle Park Golf Club ~ Mashie Course,119 Club Street,Linksfield,Gauteng,9,-26.155869,28.119574,https://www.google.com/maps/search/?api=1&query=-26.155869%2C28.119574
Killarney Country Club,60 Fifth Street,Lower Houghton,Gauteng,18,-26.151767,28.054165,https://www.google.com/maps/search/?api=1&query=-26.151767%2C28.054165
Engineers Golf Club,"Military Base, Reier Laan",Marievale,Gauteng,18,-26.345319,28.491327,https://www.google.com/maps/search/?api=1&query=-26.345319%2C28.491327
South Downs Country Club,Albaster Avenue,Mayfield Park,Gauteng,18,-26.317715,28.018657,https://www.google.com/maps/search/?api=1&query=-26.317715%2C28.018657
Meyerton Golf Club,Ramsey Patmore Avenue,Meyerton,Gauteng,18,-26.555607,28.025715,https://www.google.com/maps/search/?api=1&query=-26.555607%2C28.025715
Golf at Midfields Estates,Midsteam Estate,Midfields Estate,Gauteng,18,-25.921108,28.195961,https://www.google.com/maps/search/?api=1&query=-25.921108%2C28.195961
Steyn City Golf Course,Zevenfontein,Midrand,Gauteng,18,-25.971081,27.996292,https://www.google.com/maps/search/?api=1&query=-25.971081%2C27.996292
Modderfontein Golf Club,Golf Club Drive,Modderfontein,Gauteng,18,-26.10152,28.162615,https://www.google.com/maps/search/?api=1&query=-26.10152%2C28.162615
Kimiad Golf,Wekker Road,Moreletapark,Gauteng,18,-25.817774,28.296576,https://www.google.com/maps/search/?api=1&query=-25.817774%2C28.296576
Nigel Golf Club,off Old Springs Road,Nigel,Gauteng,18,-26.39567,28.455286,https://www.google.com/maps/search/?api=1&query=-26.39567%2C28.455286
Jackal Creek Golf Estate,"Boundary Road, Honeydew",Northriding,Gauteng,18,-26.057225,27.926336,https://www.google.com/maps/search/?api=1&query=-26.057225%2C27.926336
Observatory Golf Club,5 Steyn Street,Observatory,Gauteng,18,-26.178546,28.078706,https://www.google.com/maps/search/?api=1&query=-26.178546%2C28.078706
Parkview Golf Club,Emmarentia Ave,Parkview,Gauteng,18,-26.156424,28.022955,https://www.google.com/maps/search/?api=1&query=-26.156424%2C28.022955
Hillside Golf Club,"Rachel de Beer Street, Pretoria North",Pretoria,Gauteng,18,-25.678504,28.15268,https://www.google.com/maps/search/?api=1&query=-25.678504%2C28.15268
Mooipoort Golf Club,"Loerie Rd 304, Kameeldrift",Pretoria,Gauteng,18,-25.647975,28.318636,https://www.google.com/maps/search/?api=1&query=-25.647975%2C28.318636
Pebble Rock Country Club,"307 Aquamarine Drive, Pebble Rock Golf Estate",Pretoria,Gauteng,18,-25.613607,28.389254,https://www.google.com/maps/search/?api=1&query=-25.613607%2C28.389254
Pretoria Country Club,"241 Sydney Ave, Waterkloof",Pretoria,Gauteng,18,-25.782883,28.251222,https://www.google.com/maps/search/?api=1&query=-25.782883%2C28.251222
Pretoria Golf Club,"Morkel Street East, Phillip Nel Park",Pretoria,Gauteng,18,-25.738907,28.141737,https://www.google.com/maps/search/?api=1&query=-25.738907%2C28.141737
Sandonia Golf Club,"Plot 23, Kameeldrift East",Pretoria,Gauteng,18,-25.662221,28.332159,https://www.google.com/maps/search/?api=1&query=-25.662221%2C28.332159
Services Golf Club,"Jacobus Opperman Road, Thabatshwane",Pretoria,Gauteng,18,-25.78444,28.159783,https://www.google.com/maps/search/?api=1&query=-25.78444%2C28.159783
Silver Lakes Golf Estate,Lynwood Road,Pretoria,Gauteng,18,-25.772703,28.370562,https://www.google.com/maps/search/?api=1&query=-25.772703%2C28.370562
Waterkloof Golf Club,"Johan Rissik Drive, Waterkloof",Pretoria,Gauteng,18,-25.789289,28.222096,https://www.google.com/maps/search/?api=1&query=-25.789289%2C28.222096
Wingate Park Country Club,"Norval Street, Moreleta Park",Pretoria,Gauteng,18,-25.826179,28.277492,https://www.google.com/maps/search/?api=1&query=-25.826179%2C28.277492
Woodhill Country Club,"Garsfontein Drive, Woodhill Estate, Pretoria East",Pretoria,Gauteng,18,-25.821013,28.312292,https://www.google.com/maps/search/?api=1&query=-25.821013%2C28.312292
Zwartkop Country Club,"Old Johannesburg Road, Lyttelton",Pretoria,Gauteng,18,-25.83019,28.160588,https://www.google.com/maps/search/?api=1&query=-25.83019%2C28.160588
Randpark Golf Club ~ Bushwillow Course,Setperk St,Randburg,Gauteng,18,-26.114738,27.965825,https://www.google.com/maps/search/?api=1&query=-26.114738%2C27.965825
Randpark Golf Club ~ Firethorn Course,Setperk St,Randburg,Gauteng,18,-26.114738,27.965825,https://www.google.com/maps/search/?api=1&query=-26.114738%2C27.965825
Randfontein Golf and Country Club,"Homestead Avenue, Robinson",Randfontein,Gauteng,18,-26.155036,27.714257,https://www.google.com/maps/search/?api=1&query=-26.155036%2C27.714257
C.M.R. Golf Course,"300 Spencer Road, Maraisburg",Roodepoort,Gauteng,18,-26.18881,27.937267,https://www.google.com/maps/search/?api=1&query=-26.18881%2C27.937267
Durban Deep Golf Club,Main Reef Rd,Roodepoort,Gauteng,18,-26.173596,27.867594,https://www.google.com/maps/search/?api=1&query=-26.173596%2C27.867594
Jim and Jerry's Driving Range and Mashie Course,"1724 Hole in One Road, Ruimsig",Roodepoort,Gauteng,18,-26.074076,27.857487,https://www.google.com/maps/search/?api=1&query=-26.074076%2C27.857487
Ruimsig Country Club,"Hole In One Avenue, Ruimsig",Roodepoort,Gauteng,18,-26.082766,27.865491,https://www.google.com/maps/search/?api=1&query=-26.082766%2C27.865491
Creek 9 Golf Course,3 Anton van Wouw Str,Roosevelt Park,Gauteng,9,-26.150244,27.990645,https://www.google.com/maps/search/?api=1&query=-26.150244%2C27.990645
Inanda Greens Golf Course,54 Wierda Road,Sandton,Gauteng,9,-26.114803,28.055224,https://www.google.com/maps/search/?api=1&query=-26.114803%2C28.055224
Leeuwkop Golf Club,"2571 Candican Rd, Sunninghill",Sandton,Gauteng,18,-26.008745,28.064772,https://www.google.com/maps/search/?api=1&query=-26.008745%2C28.064772
The River Club Golf Course,"Links Rd, River Club",Sandton,Gauteng,18,-26.077808,28.038624,https://www.google.com/maps/search/?api=1&query=-26.077808%2C28.038624
The Wanderers Golf Club,"Cnr Corlett Dr and Rudd Rd, Illovo",Sandton,Gauteng,18,-26.133406,28.051872,https://www.google.com/maps/search/?api=1&query=-26.133406%2C28.051872
Soweto Country Club,"5353 Mokoka Street, Pimville",Soweto,Gauteng,18,-26.276462,27.903711,https://www.google.com/maps/search/?api=1&query=-26.276462%2C27.903711
Kempton Park Golf Club,"Green Avenue, Kempton Park",Spartan,Gauteng,18,-26.106327,28.210959,https://www.google.com/maps/search/?api=1&query=-26.106327%2C28.210959
Pollak Park Golf Course,"279 Tonk Meter Drive, Pollak Park",Springs,Gauteng,18,-26.268847,28.42766,https://www.google.com/maps/search/?api=1&query=-26.268847%2C28.42766
Springs Country Club,"Cnr Parkes and Nigel Rd, Selection Park",Springs,Gauteng,18,-26.26457,28.442506,https://www.google.com/maps/search/?api=1&query=-26.26457%2C28.442506
Thatchfield Golf Academy,Brakfontein Road,Thatchfield,Gauteng,9,-25.89448,28.121395,https://www.google.com/maps/search/?api=1&query=-25.89448%2C28.121395
Akasia Country Club,Volksrus Road,Theresapark,Gauteng,18,-25.660415,28.142574,https://www.google.com/maps/search/?api=1&query=-25.660415%2C28.142574
Emfuleni Country Club,Emfuleni Drive,Vanderbijlpark,Gauteng,18,-26.744049,27.841437,https://www.google.com/maps/search/?api=1&query=-26.744049%2C27.841437
Riviera on Vaal Country Club,Mario Milani Drive,Vereeniging,Gauteng,18,-26.672738,27.93913,https://www.google.com/maps/search/?api=1&query=-26.672738%2C27.93913
Ohenimuri Country Club,"Walker Avenue, Fairway Village, Ohenimuri",Walkerville,Gauteng,18,-26.444972,27.948661,https://www.google.com/maps/search/?api=1&query=-26.444972%2C27.948661
Waterpan Golf Course,Westonaria Gold Mine,Westonaria,Gauteng,18,-26.355685,27.702265,https://www.google.com/maps/search/?api=1&query=-26.355685%2C27.702265
Amatikulu Country Club,Tongaat Village,Amatikulu,Kwazulu-Natal,18,-29.047446,31.53033,https://www.google.com/maps/search/?api=1&query=-29.047446%2C31.53033
Bosch Hoek Golf Club,Bosch Hoek Farm,Balgowan,Kwazulu-Natal,18,-29.352171,30.096622,https://www.google.com/maps/search/?api=1&query=-29.352171%2C30.096622
Simbithi Country Club,"Shaka's Rock Road, Shaka's Rock",Ballito,Kwazulu-Natal,18,-29.511184,31.225519,https://www.google.com/maps/search/?api=1&query=-29.511184%2C31.225519
Zimbali Country Club,M4 Coastal Hwy,Ballito,Kwazulu-Natal,18,-29.547644,31.197643,https://www.google.com/maps/search/?api=1&query=-29.547644%2C31.197643
Zimbali Lakes Resort,500 Zimbali Lakes Resort,Ballito,Kwazulu-Natal,18,-29.55021,31.184526,https://www.google.com/maps/search/?api=1&query=-29.55021%2C31.184526
Amphitheatre Golf Course,Pvt Bag X1621,Bergville,Kwazulu-Natal,9,-28.658199,29.033831,https://www.google.com/maps/search/?api=1&query=-28.658199%2C29.033831
Cato Ridge Country Club,Chamberlain Street,Cato Ridge,Kwazulu-Natal,18,-29.738467,30.591195,https://www.google.com/maps/search/?api=1&query=-29.738467%2C30.591195
Creighton Golf Club,School Road,Creighton,Kwazulu-Natal,18,-30.025248,29.839057,https://www.google.com/maps/search/?api=1&query=-30.025248%2C29.839057
Noodsberg Country Club,"Pleasant Avenue, Noodsberg Village",Dalton,Kwazulu-Natal,18,-29.349501,30.689762,https://www.google.com/maps/search/?api=1&query=-29.349501%2C30.689762
Darnall Country Club,7 Park Drive,Darnall,Kwazulu-Natal,9,-29.266163,31.369357,https://www.google.com/maps/search/?api=1&query=-29.266163%2C31.369357
Cathedral Peak Hotel Golf Club,Winterton,Drakensberg,Kwazulu-Natal,18,-28.94383,29.209479,https://www.google.com/maps/search/?api=1&query=-28.94383%2C29.209479
Dundee Country Club,1 Tandy Street,Dundee,Kwazulu-Natal,18,-28.170061,30.221951,https://www.google.com/maps/search/?api=1&query=-28.170061%2C30.221951
Bluff National Park Golf Club,"100 Club Avenue, Bluff",Durban,Kwazulu-Natal,18,-29.923156,31.013166,https://www.google.com/maps/search/?api=1&query=-29.923156%2C31.013166
Camelot Country Club,"21 Wishart Road, Hillcrest",Durban,Kwazulu-Natal,18,-29.761213,30.77113,https://www.google.com/maps/search/?api=1&query=-29.761213%2C30.77113
Durban Country Club,101 Walter Gilbert Road,Durban,Kwazulu-Natal,18,-29.827867,31.034113,https://www.google.com/maps/search/?api=1&query=-29.827867%2C31.034113
Papwa Sewgolum Golf Club,"256 New Germany Road, Reservoir Hills",Durban,Kwazulu-Natal,18,-29.800864,30.966609,https://www.google.com/maps/search/?api=1&query=-29.800864%2C30.966609
Windsor Park Municipal Golf Course,NMR Avenue,Durban,Kwazulu-Natal,18,-29.816076,31.029633,https://www.google.com/maps/search/?api=1&query=-29.816076%2C31.029633
Beachwood Golf Club,"Beachwood Place, (Off Fairway Drive)",Durban North,Kwazulu-Natal,18,-29.778253,31.049773,https://www.google.com/maps/search/?api=1&query=-29.778253%2C31.049773
Empangeni Country Club,46 Pearce Crescent,Empangeni,Kwazulu-Natal,18,-28.746457,31.895885,https://www.google.com/maps/search/?api=1&query=-28.746457%2C31.895885
Eshowe Country Club,Eshowe Country Club,Eshowe,Kwazulu-Natal,18,-28.894398,31.475208,https://www.google.com/maps/search/?api=1&query=-28.894398%2C31.475208
Estcourt Golf Club,Louise Street,Estcourt,Kwazulu-Natal,18,-29.016609,29.880238,https://www.google.com/maps/search/?api=1&query=-29.016609%2C29.880238
Glencoe Correctional Services Golf Club,Glencoe Correctional Premises,Glencoe,Kwazulu-Natal,18,-28.156865,30.134833,https://www.google.com/maps/search/?api=1&query=-28.156865%2C30.134833
Greytown Country Club,3 Hallcar Street,Greytown,Kwazulu-Natal,18,-29.076047,30.592782,https://www.google.com/maps/search/?api=1&query=-29.076047%2C30.592782
Royal Durban Golf Club,16 Mitchell Crescent,Greyville,Kwazulu-Natal,18,-29.840363,31.016588,https://www.google.com/maps/search/?api=1&query=-29.840363%2C31.016588
Harding Municipal Golf Club,Shepstone Street,Harding,Kwazulu-Natal,18,-30.58098,29.886983,https://www.google.com/maps/search/?api=1&query=-30.58098%2C29.886983
Augusta Country Estate,88 ashley drive,Hillcrest,Kwazulu-Natal,18,-29.790974,30.785944,https://www.google.com/maps/search/?api=1&query=-29.790974%2C30.785944
Cotswold Downs Golf Course,Inanda Road,Hillcrest,Kwazulu-Natal,18,-29.756432,30.783134,https://www.google.com/maps/search/?api=1&query=-29.756432%2C30.783134
Sani Pass Golf Club,"Good Hope Farm, Sani Pass Road",Himeville,Kwazulu-Natal,9,-29.654803,29.440656,https://www.google.com/maps/search/?api=1&query=-29.654803%2C29.440656
Amorello Bush Golf Lodge,R22 Sodwana Rd,Hluluwe,Kwazulu-Natal,9,-27.898076,32.360083,https://www.google.com/maps/search/?api=1&query=-27.898076%2C32.360083
Howick Golf Club,357 Main Road,Howick,Kwazulu-Natal,18,-29.498076,30.232723,https://www.google.com/maps/search/?api=1&query=-29.498076%2C30.232723
Sakabula Golf Club,"Sakabula Country Estate, Merrivale",Howick,Kwazulu-Natal,18,-29.530263,30.228882,https://www.google.com/maps/search/?api=1&query=-29.530263%2C30.228882
Ixopo Golf Club,Stewarts Drive,Ixopo,Kwazulu-Natal,18,-30.149724,30.060074,https://www.google.com/maps/search/?api=1&query=-30.149724%2C30.060074
Glengarry Kamberg,"Glengarry, 1 Highmoor Rd",Kamberg,Kwazulu-Natal,9,-29.324148,29.713852,https://www.google.com/maps/search/?api=1&query=-29.324148%2C29.713852
Kloof Country Club,26 Victoria Road,Kloof,Kwazulu-Natal,18,-29.795887,30.824375,https://www.google.com/maps/search/?api=1&query=-29.795887%2C30.824375
Kokstad Golf Club,107 Elliot Street,Kokstad,Kwazulu-Natal,18,-30.542134,29.407958,https://www.google.com/maps/search/?api=1&query=-30.542134%2C29.407958
